,username,note,sentiment,date
33259,MissReichow,@andycane wow.... really?!? is this necessary??,fear,19/02/2022
13261,larule82,I wish I was laying in the sand listening to the waves crash against the shore!!!,sadness,19/04/2022
23446,Kenny_nz,"@nerissa02 Yeah, a few peeps. It should be a good day to catchup with everyone",neutral,23/01/2022
7695,AStephenson724,"so bored at work, its ridiculous, and my Saturday is going to suck with class in the morning",sadness,06/02/2022
32775,amber9482,Had an awesome pedicure today!!,happy,12/01/2022
37615,sharajacinto,"Just came back from my first city rooftop party  Man, even when you're next to THE New Yorker Bldg, it still gets pretty windy up there.",surprise,08/01/2022
34801,stacefarmface,@ikonora Have a great night!,happy,08/05/2022
22608,Jessg85,oh that was good cake,surprise,22/02/2022
28048,Irv25,Good Morning twitters!!! I am soooo tired...I really need 2 stay off of twitter...LOL this shit is taking over my life...LOL,sadness,29/01/2022
5425,PlayRadioPlay,My mom just texted me and told me that Rodney was chasing fireflies in their backyard. Awwwww I'm miss him    http://twitpic.com/66pn1,surprise,24/02/2022
21715,Benoit_Dupont,@EmmanuelGadenne  then maybe you should think of spending christmass there too,neutral,01/03/2022
30135,jadewoods03,Watching superbad with brit,happy,19/01/2022
32518,a7x111,@accidbrrittanny lol hey,neutral,28/04/2022
32844,franznicolee,HAPPY MOTHER`S DAY!,love,16/04/2022
32412,HOTMAMA15,HAPPY MOTHER DAY TO ALL THE MOTHER'S IN THE ENTIRE WORLD WE DESERVED A DAY JUST FOR US RIGHT...,sadness,04/03/2022
5781,audioboo,Geoff posted a boo: Coming Home From Tenerife Boo  http://boo.fm/b25651,neutral,08/03/2022
8307,sorcha69,@ChrisEfs i tryed that the other day but they werent giving up what they were using!,sadness,10/04/2022
4044,Lesmy,@fosforo  shame on me!!!,fear,28/02/2022
37359,WinnieBoyGenius,time to play,neutral,02/04/2022
18938,AmberForSleep,"My mom has annoyed the living crap outta me, so now we're on AOL Radio, looking for Brooks &amp; Dunn.",fear,11/03/2022
13067,JoeyTripiness,headache  wanna see my Julie,surprise,26/01/2022
4949,Jaelynnnn,ughhhhhhhhhhhh  :/,fear,27/03/2022
13165,Corey_Kelly03,People who would rather watch a movie then go outside fail at life,neutral,18/01/2022
37302,XGraceStAcKX,about to have some cake for my sister's birthday,happy,15/04/2022
32573,WhirlwindMuse,"@lazakesau &quot;Graverobber, graverobber, sometimes I wonder why I even bother..&quot; Have fun tonight!",surprise,10/02/2022
28133,kunzangj,found rollo! and got happy  hmmm.. guess i really do need to be inserted back into the matrix 0_o,happy,01/04/2022
5308,felicialieto,Its a gorgeous day and I'm going to work allll day  Just gotta keep telling myself its for NYC!!,sadness,21/03/2022
15102,kuraihime,So my lucky jade nacklace/matching earrings ain't so lucky. Lost an earring. Now the chain broke on pendant,sadness,02/02/2022
20483,isabologna,@jasonhoun Haha of course! That's my favorite album of all time,happy,30/01/2022
15731,love_fool,@h011yw00d no  are you for sure going?,neutral,26/01/2022
34697,matsrg,@natalietran I did really like that http://tinyurl.com/c63mhr reminds  a little of my favor hfw,happy,15/01/2022
23454,SerenityLove,"@BenKasica Iowa is like that sometimes, it gets frustrating.",sadness,24/04/2022
27212,CiaaoAmore,"i am confident, but i still have my moments baby that's just me  - La La Land - Demi Lovato",neutral,18/01/2022
6025,IetJee16,@Lipstick_kiss I can't find it on YouTube   only the concert versions....HELP!!!,fear,29/04/2022
38428,ryanmwilson,im home!  Dinner with mum was delicious and nice  had a good time. Happy Mothers Day to all mums,love,02/03/2022
33957,__TereBleu,@justinbrighten happy birthday justin! have a lof of fun!!! God bless,love,10/05/2022
4293,imafanatic,@JonathanRKnight   Delays/cancellations really bite. Have had my fair share and can sympathize. Hang tough!,neutral,08/03/2022
17258,Cooley_Cakes,"@WonderlandDream I can't, I have an exam on wednesday",fear,25/01/2022
7518,bubbly_sandra,: why is it so cold!?!?!,sadness,11/04/2022
8711,samstokes,"@NeilDavidson happened about three weeks ago. Why, is there a serial card fraudster on the loose?",happy,08/05/2022
25244,ldsanchez,Buying my first mac,love,10/03/2022
35931,JacobG018,Morning People!  Just woke up now!,happy,17/01/2022
35050,caserfam,happy mother's day!,surprise,08/02/2022
35130,PurpleZoe,@polyzzz Goodnight and sweet dreams to you also,love,24/04/2022
24260,antidote,@chelsea_anstee i hope! its in expo! that would be amazing. im trying so hard to make perfection so it is.,happy,13/02/2022
31184,pacomontoya,Editing all the photos I took at my brothers soccer game. He's got a lot of work to do as a coach.,neutral,13/03/2022
13320,Kimli,"@KulpreetSingh Good god, no. You can fit very few swear words into 140 characters",surprise,03/02/2022
10132,cartrouble,melissa_leah: my car wont start.......,sadness,10/05/2022
13144,iyalauren,reyt fancies a valentinos. Worst of times considering i can't have any,sadness,12/02/2022
27947,fabrice_allard,@kouzrah etherreal WAS my main preoccupation. Now it's EtherREAL's preoccupation... humm... me ? schizophrenic ?,fear,13/04/2022
12899,maryani,@brunamedeiros heeeeey baby ? where are you?,happy,11/02/2022
21555,Yanuhh,will deplurk too. buhbyeee  http://plurk.com/p/rp3ir,happy,27/04/2022
26780,dreey92,I really want to be a star...Hope Flawless will work,happy,03/03/2022
8603,catherinegordon,@flashlight Hah! Just wait till you turn 40,sadness,26/02/2022
32336,vrivera135,"Home finally! Im soooo tired and kinda lonely now, blah but w.e I'll cuddle in some blankets and watch a movie by myself  sounds good. Lol",happy,06/02/2022
23772,lesley007,@PaulHarriott Hahaha!! Tv isn't really my thing anyway..I more of a music girl,happy,28/01/2022
27514,MelBoBellanie,Good morning baby. Wake up,neutral,05/05/2022
16665,shona_elizabeth,"Waiting for Danny to text me back,,,  xoxo",sadness,11/04/2022
8926,mlane,"@JeffSays yeah, precisely what I was thinking",fear,04/03/2022
28970,tiarapurnomo,"@Pranajama I've never been to Prague, but if i had the money, it'll be in the 10 first cities I visit",happy,31/01/2022
9689,_Anix_,@axm9237 I'll have to wait for the YouTube links,happy,17/01/2022
10446,christyrae7,Want to hang out with beth and tenaya and their hubbys tonight....but jon wants to hang out with some other people,sadness,02/05/2022
14484,anticipating,I want to change my twitter name but I can't think of anything,fear,17/01/2022
36166,DannysGhirl,@RetroRewind hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks,happy,08/01/2022
7674,mmmmmburgerrrrr,@kimchiwithkraig buy me a taco! haha. i don't want to stand in line,neutral,16/04/2022
19581,eatthedocument,"@BuggysRose  Haha,I just may do that,yo!",happy,20/04/2022
27576,sageeb,@ronenk I'm not in it for the money. I'm in it for the good times.,neutral,22/04/2022
7160,SwannSoirees,"@hjn119 you can crash, you will just have to drive alone  Besides... I can't crash, I gotta work! LOL ;)",fear,01/03/2022
5005,LetsTwatThis,@jaceypants well piss on that. I can't get into their site @ work nor does it come thru on my phone.,sadness,01/02/2022
11869,Wemblore,"I miss my Nipissing pitas  Good thing we've got a Euphoria in Barrie, 'cause I would never survive summer without my pitas AND smoothies!!",sadness,07/04/2022
34039,nursetara88,new phone + zero contacts = poo. send me a message with your name so i can save your numbers thanks,sadness,21/04/2022
31740,cece_newnew,@SohFahrKreyZee oooh im sorry to late i smashed it,fear,25/03/2022
28184,uberbabyboomer,@missrogue wow! that is an *awesome* review; carry it with you everywhere; laminate it; read it when down;just plain cool,happy,12/01/2022
2871,viintagedresses,@Emiily_Kate i know its heaps awesome. if your not working all weekend,sadness,30/03/2022
15693,oohmyG,@RemiRockit sounds like my town,happy,29/04/2022
35796,hielmy,addict to &quot;long time gone&quot;,surprise,22/02/2022
17772,guitarplaya519,@ineska awwww this made me realize I have to take down my bulletin board too!  There's so many memories up there.,surprise,19/02/2022
35511,misstetiana,@gulersem Kazim Kazim  i didn't know that name ))),surprise,09/03/2022
39871,vvyes,@RajaSen Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,20/02/2022
38996,ryankanno,"@abaggy Yeah, I was always embedded staff.  I recognize your name from emails.",neutral,05/02/2022
34405,hellokimmy,"@linnraz home for 4 months  or less. depending on how fast i get bored, hahs.",surprise,21/03/2022
12005,supernova_star,@BookLoveHer I was really disappointed with the whole &quot;promiscuous girl&quot; thing. congrats on her success but i think wasted talent,surprise,02/01/2022
22222,TheSUPERGIRL,"@stayingyoung I usually do if there is choice, but I am lucky in that most foods I love are generally very healthy (except ice cream!!).",happy,04/04/2022
18141,fancynance1,Moving is hard work! This is my last night in the house I grew up in.,fear,28/01/2022
38263,rwdave,"@NovaWildstar Nothing of the sort! Nevertheless, I shall now go out and share my magnificence with the wider world!",happy,19/03/2022
19496,rachelkarhnak,"Coming to the end of a looooong day. Good new is, I got everything done! Bad news- I gotta wake up @ 4:45am tomorrow for work!",fear,26/02/2022
16065,karenthecrasian,my phone died  and i really need to go home to do my recap for @capstreetteam from last night! aiyaiyah! hate running errands,fear,30/04/2022
29102,laurenmcartney,@allthatglitrs21 you mum sounds so humble ! what a sweet thing to ask for,fear,06/02/2022
21728,MauiPixie,@runsenorun that frenchfry-corndog looks so delish! I WANT!!  Welcome back to Seattle!,happy,13/02/2022
38596,celemack,"@kymdotcom in anticipation of him making me a cup of tea, I'm agreeing. Now it must happen!  No, he is awesome.",love,30/04/2022
23404,arlyanagi,"@jeffsonstein Me too, because Monday is end of weekend. But, we cannot escape it, so I wish you have a good week",love,12/03/2022
32240,Itzjon,Tired even though i didn't do much today. glad we got to catch the second half of the cavs game @juicyjesso,neutral,29/01/2022
24865,ITSALIVE95,"wellllll, I did most of my homework. and i kind of finished with editing. And I'm not as tired this morning as I thought I'd be",happy,05/04/2022
28673,Ps8612,@lancegross http://twitpic.com/4vd89 - such a good looking cpl!! can't wait to see what kind of kids y'all will have!,happy,09/02/2022
30103,Wiens111,@khalen it was good. Next time you get oohed you know where to go!,fear,19/03/2022
27820,iamninoy,thanks everyone for praying for President Aquino.  http://plurk.com/p/rreml,fear,23/01/2022
19999,Boddingtons,@Greek4Honeybee oh no...where did your sunshine go?    *hands you a few rays of light...will this help a bit?*   ******hugs******,fear,11/01/2022
21974,Surferdreams,@OfficalJonasBro just watched it on youtube and its hilarious. i laughed trough it.. seriously guys so funny.. greetings from Germany...,surprise,26/01/2022
36476,Trixie75,@CptCswife Thanks!!!!  Happy Mother's day to you too!!,love,24/03/2022
12880,xxnicky,"that little girl on BGT  omggg, how can people not feel sorry for her?",surprise,05/01/2022
32345,JaxRaghibTrail,@m1dnightc1ty I do too!! Sounds interesting,happy,04/01/2022
25897,Cis826,"@Sweet_Cake just  little stomach bug, nothing serious",fear,23/04/2022
37737,modenerd,Good Morning good old Germany - I wanna say hello to New York.  I'm not in love. . .not really.,neutral,17/03/2022
26117,arathos,@Carlkr all the best for your IB exams Carl. I hope you don't find them too difficult and that they go well for you.,love,20/02/2022
1874,toddvic,Oh dear. Travellers moved onto land very near my house. They always leave a bloody mess and council take a year b 4 they clean it up,neutral,20/04/2022
33908,ashleyspassion,is about to make a nice cup of tea and pop some benadryl...long day...stay positive twitterbugs...goodnight!,happy,21/01/2022
38508,smueller94,Happy Mothers Day,love,12/01/2022
27500,jessica_mcnally,apparently im not getting drives to school in the morning anymore? well my dad left so no school for me this morning.. watching twilight,sadness,14/01/2022
10060,bourgie07,IN $RF @3.94 - target $5.30.  OUT $DNDN @$21.85 near days low,sadness,31/01/2022
23998,jasonsalas,"@MicheleCatahay i'd prefer &quot;observationally insightful&quot;, but call it as you see it.  my ice cream's just too fancy tonight.",love,28/03/2022
5,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,fear,19/03/2022
25495,Lesliebr25,"if i buy the petit financiers under the guise of a gift for someone else, maybe then i won't feel guilty about eating them.",fear,19/04/2022
18047,IanPaulKid,Gonna miss Thick As Blood next Friday,sadness,13/04/2022
27718,irenezhang,"Rest earlier is good for your health. So, I say good nite to you all!",happy,25/01/2022
28500,SomersetBob,"@Llawen Don't know - pretty, though",surprise,25/02/2022
12702,msexclusice09,Mad because quiz 5 answer on the BET Ford Fusion sweepstakes are all wrong,anger,06/05/2022
31806,LMRB,"@Cynthia2478 he's not gay Lol. He's a riot definitely, but not at nkotb concert. I want 2b a smitten girl with no distractions that night",neutral,22/01/2022
3860,jdmabry,Dangit! I just got my Kiss Album in and it's the wrong color.,sadness,31/01/2022
31082,MatchboxGinny,Signing off. Mom's day tomorrow.,love,22/01/2022
30975,shoe_addict17,Figured out twitter for my phone,happy,07/05/2022
24636,bittysizeterror,is about to go into her last final.  happiness!,love,07/01/2022
32569,YoungCeothaBoss,"To My Moms . I Love u so much , Ur so independent &amp; strong and I hope everything I do in life keeps u happy. Love ur 1st born Mel",love,28/03/2022
2817,MzAmyElizabeth,I want more followers.,neutral,12/03/2022
36404,necolebitchie,"@officialtila if I have 5000 friend requests tomorrow, I'm blaming you  nite",anger,26/03/2022
16174,courtneypscott,Dear On the Boards Theater: You are so loud above my head  stomp stomp ugh,anger,04/02/2022
4733,RonaGal,@Chilosa09 Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,neutral,19/01/2022
23730,k_20,@fiendfyre Never ever smoking around you again.,sadness,14/01/2022
1330,bigenya,"@overlordtrainee Sigh. It is a sad, lonely profession.",fear,09/04/2022
3264,Koleya_,Layin in bed awake. Txtin my girl in vegas. Wishin I didn't have to work and I was w her,fear,18/02/2022
33110,limbonite,@mellonikan thank you,neutral,21/01/2022
22515,SneakyRaccoon,Having a cup of tea,happy,09/04/2022
6010,amylin822,the commies at their finest: youtube and blogger are blocked in china. no updates from us while we are in china.  but GREAT WALL CONQUERED,fear,03/03/2022
29788,alexwhitman25,@luvinjrandsmoke His beard is addressed in this week's LOLs.,surprise,02/02/2022
31243,EvanZinser,Bioshock is as fantastic as the first time I played it. Now sleep then more Bioshock tomorrow,surprise,09/02/2022
10263,AnnA_LySe,"hurt my arm  can't write, hope it will be over for june the 5th",fear,05/02/2022
35221,xojoejonasox,Goodnight fellow twitters and tj ststas,surprise,16/01/2022
15378,carinayeyy,"aah, i'm tired. haven't chilled a minute today!",sadness,14/02/2022
28123,LMarle,@wude72 @boulderdiaries Thank you!,love,12/01/2022
17409,youulovemee,@divarina21 i dont evn talk 2 him no more. it was a huge mistake. i shoulda listened 2 her. i kno she's disappointed in me.,sadness,05/04/2022
32875,verbumveritatis,Thank you,neutral,05/03/2022
32872,JadeIce,@dbgrady lol that was a great movie,happy,15/03/2022
23774,carissaaanicole,goodmorning everyone,neutral,02/03/2022
29474,ROFan37,My mom just came home and she FINALLY got me a guitar strap! yay!,happy,03/03/2022
9150,danielknibbs,I so hate riding the bus. 1) It's a damn sauna in the summer! 2) Like could it kill the guy a few seats up to shower once a month??,anger,04/05/2022
25623,springtree,@kandeezie would love to see that!,happy,08/03/2022
37562,vocd,everybody needs some time on thier own  Guns N Roses x ? http://blip.fm/~5z5kz,sadness,07/05/2022
26548,ZeigHeilTwitler,Brooklyn!!! We went hard!!! Now back up top!! But 1st Hajji's...yea again  http://tinyurl.com/codla7 http://ti.. http://tinyurl.com/cr8hjs,happy,19/02/2022
27030,Nairtseuqe,Happy Monday everyone! Loving the new arrangement in my family room,love,15/03/2022
13103,dccoulombe,"@masqueradetitan omg! is it mine? omg that's so gross, I'm so sorry! I TOTALLY forgot about it until JUST now!",surprise,18/02/2022
29895,Somecitygirl,@corrykbythebay  Some peoples kids..,neutral,15/01/2022
29491,MotoWilliams,@mpool are you call that winning?,neutral,19/01/2022
6379,geocachingbot,via @cornellfinch: Found #geocache Head's Up! http://coord.info/gc1ret6. Probably my only find of the day.  http://bit.ly/JS3S4,happy,09/04/2022
21629,MichelleMunger,Going to bed after beating the snot out of hubby w/ Texas hold em,love,30/03/2022
6816,leti_rod,@alyssa133 awww i'm sorry  what kind of fish did you have?,sadness,16/04/2022
21421,samstephens,"@kevinriley Heh, thanks for that adorable plug  *cough* more info at: www.samstephens.com *cough* *cough*",happy,09/04/2022
22394,nathannxD,@jaezors my b day is on may 13 but my party is on this sat  come you gays,happy,29/01/2022
30352,PharmaScouts,Women in Science &amp; Technology conference in La Jolla - what an interesting day!  Met some really great people!,happy,16/01/2022
35926,SassyLadYy,@JoeEGO I never 4get bout u .. Your my boyfriend #2... whom I lovesssss down .. Let's chill this week,love,13/03/2022
841,dj_melza,"sososo bummed, like really bummed, i hate this rain, ruin my date...",anger,07/04/2022
23122,Jadeee25,Having a pj dayy.....Doesnt happen veryy often,happy,27/04/2022
24564,rebubba12,@PeteTaylor I miss you too!!,sadness,19/04/2022
26034,Josh_Eaves,"when i decide to be on time for something, that devil is always there to counteract! Frustrating but not discouraging...",sadness,01/03/2022
15392,NinaRampz,@oneofthosefaces all tubes closed on 9th and 10th of june  any idea of how to get to the venue?,neutral,14/02/2022
25271,destiniashlynn,It's Raining!,happy,15/03/2022
2442,ELJmcfly,"@brookedanielle_ it just upsets me , becasue like 6 years we have loved them .. and then this happens  imm really uset now x",sadness,08/03/2022
32272,keokilee,@kellimiura I'll save the celebration until it's sent to my professor. I am proud that I wrote a 15 page paper though,happy,10/05/2022
34023,twokidsonelove,"Oh, and before that last tweet i spent about half an hour on brushing my teeth with my new electric toothbrush! I feel great",love,16/01/2022
38,JanBenn,has work this afternoon,neutral,05/03/2022
33768,Mandyyzz,Kinda meant mother. Im giving props to @tonyabraham for taking us,neutral,23/01/2022
19351,Reuenthal,"god, brera, why is your plot twist going to fucking everything up i can feel it",anger,21/01/2022
15296,Roadking69178,paper work on a friday afternoo,sadness,02/02/2022
17827,markmidwinter,Ok so I've now got a bit of a bad back after lifting all drum hardware into my car   downer.,neutral,19/02/2022
21408,OspreyFlyer,"Sorry for the triple twitter post, was having trouble w/Stocktwits account.  I try not to clutter up the Twittersphere!",neutral,13/04/2022
22651,kellycdb,@hanaames Ah good. Glad to be useful.,happy,17/04/2022
12491,Cherrim,love how dad said he'd be ready to go at like 3:15 and it's now 4pm and I'm still working.,neutral,22/01/2022
22550,pilapil30,@sunshinebliss it was ok. Cute @ times.,love,05/01/2022
30657,EmilyLynneClare,"Hmm...Whilst, walking through the city I received an inviataion into an SUV Limo via some prom fellows... Don't they have dates? Oh boys!",fear,28/01/2022
28572,mbgqueen,im on twitter mobile... confusin!!!! lol im knda slow,neutral,07/01/2022
12387,worldofhiglet,@wilw  I remember those days. I wasn't a big fan of Wesley but I really felt for you as a youngster dealing with all that. But you WON!,neutral,01/01/2022
23977,mr_billiam,@AKAVirtualPA http://twitpic.com/4bckp - that should answer part of your question,neutral,24/03/2022
19141,matthewharris,@renegadepr cool. looking forward. san francisco was really nice. didn't make it out to napa though  maybe next time.,sadness,09/02/2022
21769,rockish_pop,im at school right now,neutral,16/04/2022
16579,xHaleyNicolex,so  im really borde and i dont know what i should do.,fear,02/01/2022
22805,KylieOwen,"@masterballerina yeah, I have revision to do, but gonna go starbucks instead",neutral,23/03/2022
2451,rrrache,trying to understand why WHY i joined twitter.....everyone else was doing it i felt left out,neutral,20/03/2022
9804,samantha_ehm,watching The Uninvited in my room. Can't wait to go home. But I have to go to the Deid first.,fear,27/02/2022
39026,xsmiileyamii,@theclimbx3 i knooow  its the pizza girl episode xD &lt;3,love,03/03/2022
16797,Jessica1567,@mitchelmusso i wish i could call you but it will cost a lot  my parents wont let me,fear,22/03/2022
11165,gabiigarcia,my hair won't turn whiiite,neutral,14/01/2022
35726,velofille,@rowsell you really chose the wrong time of year to do this didnt you,love,11/02/2022
23329,damonvaudrey,@ckanal funny you should say...am filling it out as we speak ;) cheers!,happy,14/03/2022
6884,oneofthosefaces,And my basketball is flat and there was a massive spider in my pavement chalks  Now the sun has gone in. FML.,anger,15/03/2022
27876,NeOBlog,Goooooooood Mornin Tweeps! It's going to be an Awesome Monday - I can already tell... not even 8am and my inbox is clean,surprise,06/02/2022
7689,mochabree,@OGBERRY rain,neutral,22/01/2022
35802,itssimplygee,"haven't twittered in forever. yeah, just had my sixteenth birthday party tonight",love,05/01/2022
4922,Billyhime,I'm going to miss my iMac so much over the next month.,fear,11/02/2022
11209,ellixian,"@theroomstops Urm, ouch, that sucks. You need crutches?  What happened? I hope you get/feel better soonest!",fear,04/04/2022
26399,mickejansson,Hell of a lot to do. But they say you shouldn't complain theese days. Who are &quot;they&quot; and can &quot;they&quot; help me in that case,sadness,05/04/2022
20869,JaneDolezalova,"Heeey, we won ice hockey....we are winners!!",happy,24/03/2022
4306,bekahfischer,has work to go to.,sadness,07/03/2022
21948,Peulo,@Brokenromantic haha malamang as one of my chef.,happy,05/04/2022
26852,kennethlang,@foxandfriends Hope you feel better soon,neutral,01/03/2022
6435,EternalAegis,"Ohhhh man  My mom got a bag of these caramel candy things, they're soooo good. I'm going to get so fat off of them ;__;",happy,06/01/2022
20186,JS040206,Waiting on laundry to finish so I can go HOME. Think I'll do my nails while I wait,fear,17/03/2022
31247,Michey_x33,Going I sleep today was a long day happy mothers day to all the moms out there,happy,06/03/2022
1037,vrodriguez420,just got home after killing a possum,neutral,11/01/2022
38131,ahgareesh,"we're one, but we're not the same, we get to carry each other",neutral,11/03/2022
6228,listendontpanic,Sitting on the decking reading psychology notes with my ipod and my dog. It's far too warm,fear,24/04/2022
12630,jenniferricci,Being followed by compliance.  Great.   Have to watch what I say now.,happy,15/01/2022
15161,angeltalks,live now! but nobodys there!,fear,06/05/2022
14279,hiracdelest,LOVED &quot;Drag Me To Hell&quot; and &quot;Up&quot;...yeah my Spend the Day Studying plan didn't happen,fear,17/01/2022
38126,Rose_of_Sharon_,"Our God is an awesome God, He is a God of 2nd,30th,100th chances..I give Him ALL the glory for my 2nd chance at 'love'.. Am still stunned",love,04/05/2022
20071,ilanbr,"@MrPhotographic Happy b-day! Just woke up on this side of Earth, so wishes are bit late",neutral,02/01/2022
39582,carter_family,We are having a day 'at home' today - which is proving to be rather lovely,love,21/03/2022
11999,AngryChad,"@BoHeMyth: Very interested. However, low carbs for the next month means no beer for me",sadness,07/01/2022
14152,joAnn_7,just got home and  i got to freakkin clen,neutral,18/03/2022
18375,JustBreathe17,"@wildcurl7888  Well, I still can't wait for the one shot.",happy,20/03/2022
19327,myworldCK,"at work.. missing my miami fam @anywayz, @abigaildsouza, @mrohboy32, carolina, jonathan, @Prtyprincess, @JessDosil &amp;&amp;&amp; more",sadness,19/03/2022
20513,sarahlochelt,loves her some worship papers. and had a fantastic day. the Lord is good. and constantly surprises me.,love,21/01/2022
16864,jasminepotts,@nattymsmith they have nice cakes  why can't I like them? Haha and you should! That's sooo gayy though,love,05/02/2022
21768,zarazombie,@zhayrar whoa rad ! coffee makes me stay up all night,fear,27/04/2022
13441,Umatter2Chtr,@DeliverImHungry You are right.  If you ordered a static IP it should have been set up.  I apologize if it was not,fear,15/03/2022
10400,madelyntrouble,Man i wish i could just bathe in my ice-cold sunkist right now.... But then i'd be sticky,surprise,18/04/2022
4480,candeeezy,@chellemariee I have my 830 class  fuckin school! what time you work wed? if jade comes ima have to get her in antioch at amtrak.,anger,06/01/2022
20084,Beyy,Can't wait for SYTYCD tour with Ashleighhh &amp; Izzayyy,surprise,10/03/2022
